"Error: This error will block the book from publishing. The error needs to be fixed in order to publish."
"Notice: This issue will not block the book from publishing and can be safely ignored as there will be no impact."
"Type","Description","Source File","Line Number","Text Preceding Warning or Error","Recommended Fix"
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch049.xhtml#verse-1-Corinthians-5-8","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch008.xhtml#verse-Deuteronomy-1-30","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch009.xhtml#verse-Josua-2-9","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch049.xhtml#verse-1-Corinthians-10-3","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch050.xhtml#verse-2-Corinthians-8-15","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch009.xhtml#verse-Josua-5-12","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch049.xhtml#verse-1-Corinthians-10-4","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch008.xhtml#verse-Deuteronomy-1-9","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch008.xhtml#verse-Deuteronomy-7-6","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch006.xhtml#verse-Levitikus-19-2","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch061.xhtml#verse-Hebrews-12-18","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch049.xhtml#verse-1-Corinthians-7-5","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch061.xhtml#verse-Hebrews-12-21","","","",""
